Test ID,Problem Size,Execution Time (s),Result
1,9,3.0994415283203125e-05,Yes
2,9,2.193450927734375e-05,No
3,9,1.9073486328125e-05,Yes
4,9,1.52587890625e-05,Yes
5,9,1.6927719116210938e-05,No
6,9,2.4080276489257812e-05,No
7,9,1.2874603271484375e-05,No
8,9,1.9073486328125e-05,Yes
9,9,1.5974044799804688e-05,Yes
10,9,1.6689300537109375e-05,No
11,18,4.00543212890625e-05,No
12,18,3.981590270996094e-05,Yes
13,18,7.176399230957031e-05,Yes
14,18,4.9114227294921875e-05,No
15,18,4.291534423828125e-05,No
16,18,3.719329833984375e-05,No
17,18,3.0279159545898438e-05,No
18,18,2.5033950805664062e-05,No
19,18,3.814697265625e-05,Yes
20,18,3.886222839355469e-05,No
21,20,5.078315734863281e-05,No
22,20,4.601478576660156e-05,Yes
23,20,5.602836608886719e-05,No
24,20,4.100799560546875e-05,Yes
25,20,5.459785461425781e-05,Yes
26,20,3.981590270996094e-05,Yes
27,20,4.696846008300781e-05,No
28,20,4.887580871582031e-05,No
29,20,4.00543212890625e-05,No
30,20,5.507469177246094e-05,No
31,30,8.702278137207031e-05,No
32,30,8.702278137207031e-05,No
33,30,8.606910705566406e-05,No
34,30,8.869171142578125e-05,No
35,30,8.106231689453125e-05,No
36,30,9.608268737792969e-05,Yes
37,30,0.00012111663818359375,No
38,30,0.0001690387725830078,No
39,30,9.179115295410156e-05,No
40,30,9.393692016601562e-05,Yes
41,32,5.221366882324219e-05,No
42,32,0.00011110305786132812,No
43,32,9.226799011230469e-05,No
44,32,0.00012612342834472656,No
45,32,9.083747863769531e-05,No
46,32,0.00013589859008789062,No
47,32,9.918212890625e-05,Yes
48,32,7.510185241699219e-05,No
49,32,9.703636169433594e-05,Yes
50,32,0.00018405914306640625,No
51,33,0.00013637542724609375,No
52,33,0.00012493133544921875,Yes
53,33,0.00010633468627929688,Yes
54,33,0.00010800361633300781,Yes
55,33,7.295608520507812e-05,No
56,33,0.00011801719665527344,No
57,33,8.678436279296875e-05,No
58,33,0.00010204315185546875,Yes
59,33,9.393692016601562e-05,No
60,33,0.00011920928955078125,No
61,38,0.00011897087097167969,Yes
62,38,0.00011730194091796875,Yes
63,38,0.00019097328186035156,No
64,38,0.00010800361633300781,Yes
65,38,4.315376281738281e-05,No
66,38,0.00012493133544921875,No
67,38,7.510185241699219e-05,No
68,38,0.00014591217041015625,No
69,38,0.00014781951904296875,No
70,38,0.00022411346435546875,No
71,43,0.00019097328186035156,No
72,43,0.00015091896057128906,Yes
73,43,0.00023674964904785156,Yes
74,43,0.000164031982421875,No
75,43,0.0001678466796875,No
76,43,0.00015616416931152344,No
77,43,0.00014019012451171875,Yes
78,43,0.0001709461212158203,No
79,43,0.0001888275146484375,Yes
80,43,0.00014495849609375,No
81,45,0.00018978118896484375,No
82,45,0.00016689300537109375,Yes
83,45,0.0001480579376220703,No
84,45,0.0001971721649169922,No
85,45,0.00018715858459472656,No
86,45,0.0002751350402832031,No
87,45,0.00023603439331054688,No
88,45,0.00015306472778320312,Yes
89,45,0.00027108192443847656,No
90,45,0.00019669532775878906,Yes
91,47,0.0001697540283203125,No
92,47,0.0002090930938720703,No
93,47,0.0001990795135498047,No
94,47,0.0002071857452392578,No
95,47,0.0001728534698486328,No
96,47,0.00019097328186035156,Yes
97,47,0.0001900196075439453,Yes
98,47,0.00015997886657714844,No
99,47,0.0001289844512939453,No
100,47,0.0002448558807373047,Yes
